0.147144	0.113113	0.338787	0.338787
0.409318	0.179482	0.076101	0.076101
0.077401	0.194960	0.412580	0.412580
0.104218	0.170053	0.343128	0.343128
0.162042	0.112543	0.286756	0.286756
0.139604	0.117621	0.338624	0.338624
0.302993	0.060949	0.182113	0.182113
0.012447	0.254025	0.452020	0.452020
0.402057	0.198456	0.045704	0.045704
0.229792	0.142758	0.222885	0.222885
0.044262	0.211627	0.403671	0.403671
0.071532	0.194377	0.408545	0.408545
0.405421	0.168219	0.096709	0.096709
0.243684	0.028024	0.269019	0.269019
0.230313	0.029833	0.270419	0.270419
0.018160	0.263650	0.461988	0.461988
0.052185	0.202701	0.404358	0.404358
0.488873	0.312102	0.084308	0.084308
0.013907	0.240626	0.433570	0.433570
0.394394	0.167745	0.080012	0.080012
0.015186	0.240841	0.437965	0.437965
0.143334	0.111992	0.330219	0.330219
0.162281	0.093154	0.300870	0.300870
0.052805	0.305313	0.499333	0.499333
0.477606	0.265886	0.031714	0.031714
0.087204	0.167036	0.369372	0.369372
0.020087	0.260804	0.460755	0.460755
0.336265	0.091343	0.159813	0.159813
0.032318	0.262701	0.467106	0.467106
0.034520	0.243504	0.450285	0.450285
0.052805	0.305313	0.499333	0.499333
0.371320	0.143501	0.101172	0.101172
0.066193	0.194436	0.404795	0.404795
0.311241	0.073568	0.168949	0.168949
0.651376	0.469306	0.228262	0.228262
0.082443	0.173003	0.380663	0.380663
0.105682	0.154806	0.372709	0.372709
0.022707	0.268660	0.467341	0.467341
0.033364	0.221032	0.418611	0.418611
0.014210	0.241234	0.437736	0.437736
0.558775	0.361681	0.120036	0.120036
0.502238	0.314132	0.076110	0.076110
0.017525	0.247529	0.433958	0.433958
0.024971	0.249860	0.452979	0.452979
0.056486	0.214725	0.427084	0.427084
0.353972	0.113105	0.138242	0.138242
0.131266	0.131689	0.356254	0.356254
0.279745	0.052817	0.191147	0.191147
0.025937	0.243969	0.447361	0.447361
0.052805	0.305313	0.499333	0.499333
0.270921	0.115743	0.176175	0.176175
0.266381	0.036579	0.208564	0.208564
0.328422	0.087955	0.157704	0.157704
0.436773	0.258108	0.053608	0.053608
0.032638	0.252781	0.458611	0.458611
0.310308	0.069873	0.173381	0.173381
0.200792	0.066981	0.305798	0.305798
0.314116	0.099247	0.145022	0.145022
0.017499	0.257205	0.456807	0.456807
0.021453	0.238429	0.438750	0.438750
0.114683	0.179697	0.336808	0.336808
0.052805	0.305313	0.499333	0.499333
0.094065	0.163968	0.377424	0.377424
0.295848	0.077638	0.167152	0.167152
0.316714	0.065877	0.230043	0.230043
0.185617	0.094895	0.264246	0.264246
0.032619	0.250548	0.456515	0.456515
0.085040	0.169264	0.370327	0.370327
0.070154	0.198117	0.412861	0.412861
